product_name,total,reordered,ordered_once,reordered_percent
Nectarines,4903,2778,2125,56.65918825209055
Wild Blueberry All Natural Fruit Spread,584,286,298,48.97260273972603
Brut Rosé,206,75,131,36.407766990291265
Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,5,0,5,0.0
"3 in 1 Soap for Every Man, Cucumber & Lemon",11,2,9,18.181818181818183
"Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care",44,6,38,13.636363636363635
"Corn Dogs, Mini, Honey Crunchy Flavor",30,14,16,46.666666666666664
Artisan Ciabatta,59,10,49,16.94915254237288
Extra Spearmint Sugar-Free Gum,207,116,91,56.038647342995176
Living Organic Cilantro,54,13,41,24.074074074074073
Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,181,117,64,64.64088397790056
"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",61,12,49,19.672131147540984
100% Recycled Aluminum Foil,3282,740,2542,22.54722730042657
Hacho Miso Aged & Fermented Soybeans,10,2,8,20.0
Organic Mini Homestyle Waffles,4919,3403,1516,69.18072779020126
Dressing Bleu Cheese,9,0,9,0.0
Peanut Butter Cacao Quinoa Clusters,8,1,7,12.5
Wild Chanterelle Mushroom Ravioli,1343,545,798,40.580789277736415
Garlic Parmesan Pita Bread Chips,4,0,4,0.0
Sparkling Blush Grape Juice,13,4,9,30.76923076923077
Halves & Pieces Walnuts,54,21,33,38.88888888888889
Extra Sharp Cheddar Cheese,1877,1016,861,54.128929142248275
Single Herbs Ginkgo Leaf Dietary Supplement,3,0,3,0.0
Steakhouse Onion Burger with Garlic Seasoning,4,1,3,25.0
Gluten Free All Natural Chocolate Chip Cookies,97,71,26,73.19587628865979
Habanero Lime Shrimp Flavor Ramen Noodle Soup,14,4,10,28.57142857142857
Vanishing Acne Treatment Cream,18,6,12,33.33333333333333
T Bone Steak,6,1,5,16.666666666666664
Original Turkey,181,108,73,59.66850828729282
Citrus Terere Yerba Mate,183,125,58,68.30601092896174
Vegan Santa Fe Style Flour Tortilla Rolled Tacos,41,24,17,58.536585365853654
Penne Rigate With Spinach,73,36,37,49.31506849315068
Simply Beyond Black Bean Tortilla Chips,32,11,21,34.375
Country Style Baked Beans,287,105,182,36.58536585365854
Acti-Fresh Body Shape Long Unscented To Go Panty Liners,5,0,5,0.0
Cookie Dough Performance Energy,7,2,5,28.57142857142857
Kisses Milk Chocolate Candy,1040,488,552,46.92307692307692
Chicken Nugget Meal,75,36,39,48.0
Fresh Scent Dishwasher Detergent with Dawn,581,227,354,39.070567986230635
Wild Sardines in Marinara Sauce,269,144,125,53.53159851301115
Mild El Nino Salsa,225,155,70,68.88888888888889
Healthfull Nuts & Seeds Bread,29,13,16,44.827586206896555
Classic Culinary Low Sodium Vegetable Broth,154,54,100,35.064935064935064
Medium Spicy Butter Chicken Simmer Sauce,18,6,12,33.33333333333333
Israeli Style Gefilte Fish,35,5,30,14.285714285714285
fruitwater® Strawberry Kiwi Sparkling Water,10,3,7,30.0
Lamb Rib Chops,452,313,139,69.24778761061947
Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,32,24,8,75.0
Soda,35791,27791,8000,77.64801207007348
Cold Brew Coffee Tahitian Vanilla,15,5,10,33.33333333333333
Tzatziki Cucumber Sauce,43,14,29,32.55813953488372
Herb Thyme Clamshell,267,59,208,22.09737827715356
Radiant Pantiliners Regular Wrapped Unscented,8,0,8,0.0
Sloppy Joe,17,5,12,29.411764705882355
Spinach & Feta Pierogi,13,2,11,15.384615384615385
"Rescue Remedy, Spray",31,6,25,19.35483870967742
Free & Clear Natural Laundry Detergent For Sensitive Skin,4931,2338,2593,47.414317582640436
Chocolate Mint Cookie Crunch Nutrition Bar,83,54,29,65.06024096385542
Roasted Vegetable Soufflé,184,85,99,46.19565217391305
Minis Candy Bars,849,442,407,52.06124852767962
Vanilla Almond Cashew Almondmilk Cashewmilk Blend,27,14,13,51.85185185185185
Italian Pasta Salad,80,27,53,33.75
Homemade Hot Arrabbiata Fra Diavolo Sauce,4552,2719,1833,59.73198594024605
Gluten Free Organic Cereal Coconut Maple Vanilla,377,201,176,53.315649867374006
Organic Blue Corn Sea Salt Tortilla Chips,221,120,101,54.29864253393665
Tapatio Salsa Picante Hot Sauce Tortilla Chips,111,56,55,50.45045045045045
Argan Oil of Morocco Renewing Weightless Healing Dry Oil Hair Oil,17,4,13,23.52941176470588
Sambal Oelek Ground Fresh Chili Paste,353,93,260,26.345609065155806
"Gluten Free Oatmeal, Variety Pack",552,254,298,46.01449275362319
"String Cheese, Mozzarella",246,136,110,55.28455284552846
"6\"" Organic Carrot Cake",12,4,8,33.33333333333333
Totz Toothbrush Extra Soft 18+ Months,624,255,369,40.86538461538461
Tegaderm Waterproof Transparent Dressing,7,1,6,14.285714285714285
Cayenne Lemonade Made With Raw Tristate Honey,47,24,23,51.06382978723404
Honey Nut Oatmeal Squares,497,284,213,57.14285714285714
Kiwi Strawberry Sparkling Water,121,91,30,75.20661157024794
Foaming Hand Soap Kid Watermelon,2,0,2,0.0
3 Seed Blue Corn Dipping Chips,6,0,6,0.0
Shaved Parmesan Cheese,1541,650,891,42.18040233614536
Triple Chocolate Snack Size,7,0,7,0.0
Organic Soups Lentil,1558,916,642,58.793324775353014
EcoNet Recycled Bath Sponge,83,17,66,20.481927710843372
Vanilla Cream Soda,21,13,8,61.904761904761905
Low Sodium Turkey,13,4,9,30.76923076923077
Blue Bottle Coffee Frozen Bar,69,37,32,53.62318840579711
Chinese Breakfast Black Tea,113,51,62,45.13274336283185
Tennessee Whiskey,158,76,82,48.10126582278481
Gluten Free Blueberry Muffin Mix,28,9,19,32.142857142857146
Chicken Meatballs Dog Treats,7,1,6,14.285714285714285
Brambleberry Herbal Tea,100,54,46,54.0
Alpha-Bits Multigrain Cereal,26,10,16,38.46153846153847
Chicharrones Picante Flavor Pork Rinds,188,91,97,48.40425531914894
Nature's Seasons Seasoning Blend,31,10,21,32.25806451612903
Shrimp with Pasta & Vegetables,46,27,19,58.69565217391305
Original Red Twists,138,95,43,68.84057971014492
Taco Reduced Sodium Seasoning Mix,32,13,19,40.625
Organic Roasted Garlic Pasta Sauce,41,12,29,29.268292682926827
Poppy Seed Bagels,36,14,22,38.88888888888889
Triple-Acting Laundry Stain Remover,826,210,616,25.423728813559322
Perfectly Thymed Pita Crisps Baked,57,11,46,19.298245614035086
Dried Sweetened Cranberries,6371,2550,3821,40.02511379689217
"Pinot Grigio, California, 2010",5,2,3,40.0
"Authentic Deep Dish, Spinach & Garlic Pizza",14,5,9,35.714285714285715
Extra Strength Melatonin Adult Gummies,24,10,14,41.66666666666667
"Waffles, Red Berry",3,0,3,0.0
Organic Vegetable Greens & Greens Juice Blend,53,26,27,49.056603773584904
Honey Mustard,63,5,58,7.936507936507936
"Cold Remedy, Quick Dissolve Tablets, Cherry Flavor",53,9,44,16.9811320754717
Island Fruits Fruit Snacks,391,186,205,47.570332480818415
Key Lime Soda,33,27,6,81.81818181818183
Vegetable Pot Pie,2033,1039,994,51.10673880964093
Imported Italian Solid Light Tuna In Pure Olive Oil,3,0,3,0.0
Cantaloupe,23900,15181,8719,63.51882845188285
Organic Southwestern Burrito,1417,719,698,50.7410021171489
Petite Dill Pickles,179,60,119,33.5195530726257
Red Food Color,172,7,165,4.069767441860465
Non-Fat Blueberry on the Bottom Greek Yogurt,3025,2035,990,67.27272727272727
Glass Storage Container with Green Silicone Protection,7,1,6,14.285714285714285
Rio Berry,103,81,22,78.64077669902912
Triple Chocolate Ripple,162,89,73,54.93827160493827
Sponge Mop,6,1,5,16.666666666666664
Stuffed Crust Five Cheese Pizza,8,1,7,12.5
OneZip Storage Bags Quart Size Value Pack,187,55,132,29.411764705882355
TAI PEI      14OZ.SWEET & SOUR CHKN,31,11,20,35.483870967741936
Propolis Herbal Supplement,14,3,11,21.428571428571427
Thin Stackers Brown Rice  Salt Free,1323,810,513,61.224489795918366
Snack Bags,2205,646,1559,29.297052154195015
Caramel Sauce,143,24,119,16.783216783216783
French Vanilla Ice Cream,2454,922,1532,37.571312143439286
Diet Root Beer,3037,2110,927,69.47645702996378
Instant Mashed Potatoes,897,220,677,24.526198439241917
Everyday Detox Dandelion Tea,194,68,126,35.051546391752574
Makeup Remover Cleansing Towelettes,1186,426,760,35.91905564924115
Chai Tea Bags,194,69,125,35.56701030927835
Oh My Cod! Cod Pate and Vegetables Cat Food,138,69,69,50.0
Organic Whole Wheat Elbows,3030,1422,1608,46.930693069306926
Organic Spicy Heirloom Marinara Sauce,174,85,89,48.85057471264368
Mini Nilla Wafers Munch Pack,156,56,100,35.8974358974359
Lite Poppy Seed Dressing Lite,208,53,155,25.48076923076923
Turkey,3107,2192,915,70.5503701319601
Original Sprouted Grains Protein & Fiber Hot Oatmeal,296,188,108,63.51351351351351
100% Juice No Sugar Added Fruit Punch,6,1,5,16.666666666666664
Organic Peppermint Lemonade,81,41,40,50.617283950617285
Mint Dental Floss,15,3,12,20.0
Fresh Multi-Purpose Contact Lens Solution,29,8,21,27.586206896551722
Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,183,115,68,62.841530054644814
Minis Original Saltine Crackers,1016,546,470,53.74015748031496
Chewables Extra Strength Cherry Creme - 48 CT,49,10,39,20.408163265306122
For Men Odor Armor Body Wash,10,4,6,40.0
"Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink",42,6,36,14.285714285714285
Brisk With Lemon Iced Tea,43,25,18,58.139534883720934
Organic Apple Spinach Kale Coconut Water Superjuice,12,0,12,0.0
Organic Enriched Unbleached White Flour,393,80,313,20.35623409669211
"Biotin 10,000mcg Maximum Strength",17,7,10,41.17647058823529
Gourmet Dog Treats Bone,10,3,7,30.0
"Candy, Original",26,2,24,7.6923076923076925
Dry Roasted Pistachios,103,40,63,38.83495145631068
Wild Forest Raw Neem Honey,228,65,163,28.50877192982456
Gold Potatoes,44,13,31,29.545454545454547
Precious Mozzarella Cheese,251,93,158,37.05179282868526
Advanced Haircare Color Vibrancy Nourishing Shampoo,9,1,8,11.11111111111111
Graduates Lil' Entrees Spiral Pasta In Turkey Meat Sauce With Green & Yellow Beans,30,12,18,40.0
"Crackers, Puffed, Corn, Quinoa & Sesame",1103,696,407,63.100634632819585
Naturals Savory Turkey Breakfast Sausage,8212,4574,3638,55.69897710667316
Juicing Carrots,5,1,4,20.0
Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,8,1,7,12.5
Extra Whitening Multi-Benefit Fluoride Toothpaste,7,0,7,0.0
Creamy Italian Dressing Marinade,28,6,22,21.428571428571427
Revive Anti-Perspirant Deodorant,35,6,29,17.142857142857142
Best Grains Honey & Crunch Oat Bread,74,47,27,63.51351351351351
Apple Cinnamon Crisp Candle,14,1,13,7.142857142857142
Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,201,105,96,52.23880597014925
"Glycerine Soap, Pure and Natural, Cucumber",4,0,4,0.0
Echinacea Goldenseal Alcohol Free Extract,22,5,17,22.727272727272727
Brooklyn Pizza Dough,317,167,150,52.6813880126183
Natural Food Color Packets,24,1,23,4.166666666666666
Strong & Kind Roasted Jalapeno Almond Protein Bar,13,4,9,30.76923076923077
Veggie-Style Mini Corn Dogs,1104,678,426,61.41304347826087
Deluxe Sauce Made with 2% Milk Cheese Macaroni & Cheese Dinner,49,11,38,22.448979591836736
"Green Peas, Organic, Petite",715,368,347,51.46853146853147
Disinfectant Spray Cherry Blossom & Pomegranate Scent,7,1,6,14.285714285714285
Organic Whole Grassmilk Milk,15459,12345,3114,79.85639433339801
Chilpotles in Adobo Sauce,657,172,485,26.17960426179604
Organic Lemon Gingersnap,13,2,11,15.384615384615385
Raspberry Fig Bars,49,20,29,40.816326530612244
Basil Daly Bar Soap,65,16,49,24.615384615384617
Sparkling Raspberry Lemonade Water Beverage,278,151,127,54.31654676258992
Blueberry Kombucha,193,141,52,73.05699481865285
Black Currant Kombucha,26,19,7,73.07692307692307
"Soap, Pure-Castile, 18-in-1 Hemp, Lavender",32,5,27,15.625
Yahrzeit Light Memorial Candle,17,5,12,29.411764705882355
Creamline Yogurt Wild Blueberry,191,112,79,58.63874345549738
Eco-Pac Kamut Puffs Cereal,569,348,221,61.15992970123023
Cheese Creations Four Cheese Cheese Sauce,36,8,28,22.22222222222222
"Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",121,62,59,51.2396694214876
Organic Whole Peeled Baby Carrots,3180,1964,1216,61.76100628930817
Lime Sherbet,3,0,3,0.0
Extra Strength Berry,6,2,4,33.33333333333333
Sunflower Bread,3,0,3,0.0
"Vegetable Salad Kit, Sweet Kale",747,474,273,63.45381526104418
Super Slimming Herbal Tea,51,21,30,41.17647058823529
Organic Granulated Tapioca,149,11,138,7.38255033557047
Mixed 12 Pack Lion's Share Ale,534,313,221,58.61423220973783
Go Fresh Nutrium Moisture Body Wash Blue Fig & Orange Blossom Scent,262,85,177,32.44274809160305
Colby Jack & Mild Cheddar Combo Pack,558,297,261,53.2258064516129
Tzatziki Greek Yogurt Dip,220,126,94,57.27272727272727
Twist n Loc Small Round Containers + Lids,335,97,238,28.955223880597014
Ground Flaxseed With Mixed Berries,49,15,34,30.612244897959183
Ristorante Pizza Spinaci Thin Crust Pizza,28,19,9,67.85714285714286
White Writing Gel,6,0,6,0.0
Frozen All Butter Pound Cake,314,112,202,35.6687898089172
Deli Thin-Sliced Honey Ham,186,75,111,40.32258064516129
Whole Wheat Spanakopita,209,120,89,57.41626794258373
Day and Night Multi-Symptom and Severe Cold & Cough Pain Reliever/Fever Reducer,34,0,34,0.0
Pound Cake Cake Mix,29,7,22,24.137931034482758
Water Crackers Original All Natural,62,13,49,20.967741935483872
Greener Selection Salad,68,28,40,41.17647058823529
Cheerios Cereal,7830,4568,3262,58.3397190293742
Vitamin C 1000 Mg Tropical Drink Mix Dietary Supplement,76,14,62,18.421052631578945
Ultimate Omega 1000 mg Lemon Soft Gels,135,48,87,35.55555555555556
Fabric Softener Dryer Sheet Free & Gentle 200CT Fabric Enhancers,56,9,47,16.071428571428573
New Mexico Chili,4,0,4,0.0
Chocolate Caramel Whey Protein Bar,4,0,4,0.0
Juniper Berry Soda,7,0,7,0.0
Moisture Rich Sweet Orange & Argan Conditioner,49,8,41,16.3265306122449
Honey Glazed Carrots,122,56,66,45.90163934426229
Sliced Kosher Salami,16,10,6,62.5
Multigrain Spaghetti Style Pasta,101,29,72,28.71287128712871
Even & Bright Pink Lemon and Mandarin Orange Body Wash,38,9,29,23.684210526315788
Chunky Beef with Vegetables & Brown Rice Dog Food,288,214,74,74.30555555555556
Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent,395,157,238,39.74683544303797
Super Dry Beer,6,1,5,16.666666666666664
Clementine Bag,85,26,59,30.58823529411765
Toaster Pops Strawberry,33,14,19,42.42424242424242
Sugar Free Mint Patties,63,36,27,57.14285714285714
Breaded Chicken Breast Tenders,151,69,82,45.6953642384106
EverCurl Hydracharge Conditioner,5,1,4,20.0
Liquid Drink Mix Blackberry Lemonade,77,37,40,48.05194805194805
Real Chicken & Veggies Recipe Dog Food,108,51,57,47.22222222222222
Chocolate Brownie Flavor Protein Bar,98,46,52,46.93877551020408
Stove Top Stuffing Mix for Turkey,388,81,307,20.876288659793815
Mache Blend,1687,955,732,56.60936573799644
Super Enzymes,10,2,8,20.0
Organic Yukon Gold Potato Bag,91,20,71,21.978021978021978
OPA Greek Yogurt Ranch Dressing,56,21,35,37.5
Phoenix Anti-Perspirant & Deodorant Stick Twin Pack,25,7,18,28.000000000000004
Aquaphor Healing Ointment,29,0,29,0.0
Sweet Cream Buttermilk Powder,29,1,28,3.4482758620689653
Cashews Natural Unsalted,34,17,17,50.0
Pure Granulated Cane Sugar,4334,1354,2980,31.241347485002308
Organic Hard Candy Blood Orange and Honey,17,3,14,17.647058823529413
Organic Strawberry Lemon-ade,23,14,9,60.86956521739131
Grass-Fed Yogurt Blueberry Cardamom,96,58,38,60.416666666666664
"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",324,94,230,29.01234567901235
100% Pure Beef Homestyle Patties,58,23,35,39.6551724137931
Ultra Thin Pastrami,404,210,194,51.98019801980198
Reg; Organic Apple Cider Vinegar 16 Fl Oz,54,10,44,18.51851851851852
100% Organic Diced Tomatoes,1272,701,571,55.11006289308176
Vanilla Almond Protein Bar,57,35,22,61.40350877192983
Almond Glow Almond Body Lotion/Massage Oil,14,4,10,28.57142857142857
Pink Vitamin C 1000 Mg Pink Lemonade Drink Mix,19,2,17,10.526315789473683
Original Bite Size Candies Natural & Artificial Flavors Fun Size,8,0,8,0.0
Holiday Sugar Plum Spice Herbal Tea,11,0,11,0.0
Super Plus Cardboard Applicator Unscented Tampons,15,2,13,13.333333333333334
Brazilian Keratin & Argan Oil Leave-In Conditioning & Styling Elixir,9,1,8,11.11111111111111
Dual Action Beta Immune and Anti-Oxidant Effervescent Citrus,7,2,5,28.57142857142857
Gluten Free Chicken Rustica Pizza,17,12,5,70.58823529411765
16 oz Cold Cups,168,113,55,67.26190476190477
Laundry Soil Stain Remover,31,13,18,41.935483870967744
Classics Baby Binks Easter Chocolate Bunny,4,1,3,25.0
Whole Grain Linguine Pasta,194,58,136,29.896907216494846
Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,214,124,90,57.943925233644855
International Cafe French Vanilla Mix,17,11,6,64.70588235294117
Garlic & Herb Fresh Goat Cheese,528,183,345,34.659090909090914
Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,22,6,16,27.27272727272727
Red Jalapeno Caesar Dressing,6,2,4,33.33333333333333
Linguine Pasta,2748,937,1811,34.09752547307133
Sardines in Water Salt Added,15,9,6,60.0
2nd Foods Bananas,61,39,22,63.934426229508205
Italian Style Panko Breadcrumbs,226,61,165,26.991150442477874
Everyday Mega Pack Paper Plates,215,81,134,37.67441860465116
Dark Red Kidney Beans,2471,871,1600,35.24888709024686
Born Yesterday Pale Ale,9,2,7,22.22222222222222
"Ice Cream, Cookies & Cream",14,4,10,28.57142857142857
Vanilla Almond Breeze Almond Milk,30935,22542,8393,72.86891870050106
Organic Whole Granulation Roasted Buckwheat Groats,41,17,24,41.46341463414634
Beach Sage Liquid Fabric Softener,35,12,23,34.285714285714285
Dark Chocolate Raisins,76,35,41,46.05263157894737
Petite Brussels Sprouts,4831,2223,2608,46.01531773959843
Strawberry Cheesecake Nonfat Yogurt,8,4,4,50.0
Special K Vanilla Cappuccino Protein Breakfast Shakes,10,5,5,50.0
Crispy Cinnamon Pear Chips,10,3,7,30.0
Crossovers Olive Thyme Almond,4,0,4,0.0
Antioxidant Cranberry Body Wash,2,0,2,0.0
